ID_REF,probe_id,log2FC,p_value,adj_p_value,mean_tumor,mean_nontumor
TC07002116.hg.1,TC07002116.hg.1,0.013984421334190422,0.5992271500902699,0.6375949560340389,3.9708578556416265,3.956873434307436
TC04000443.hg.1,TC04000443.hg.1,-0.011134024219425775,0.5992844876788562,0.6376439390816556,2.875352449408514,2.8864864736279396
TC03000706.hg.1,TC03000706.hg.1,0.012649353204411184,0.5994367977601782,0.6377939699393443,4.2361046478112065,4.223455294606795
TC11002724.hg.1,TC11002724.hg.1,-0.019094996586336066,0.599488144128455,0.6378365729159124,6.510253210232389,6.529348206818725
TC15001891.hg.1,TC15001891.hg.1,-0.013216917463624078,0.5995368438453855,0.6378763583847655,2.7900774731279645,2.8032943905915886
TC02003038.hg.1,TC02003038.hg.1,0.03236256647842595,0.5995884502458027,0.6379192348564474,3.627831963009669,3.595469396531243
TC14000698.hg.1,TC14000698.hg.1,-0.06020534900357344,0.599625795987398,0.6379469376759324,5.154847782381554,5.215053131385128
TC21000739.hg.1,TC21000739.hg.1,0.08980108959347177,0.5996463852975505,0.6379568124781673,7.228003466642649,7.138202377049177
TC05003080.hg.1,TC05003080.hg.1,-0.011271035647055783,0.5998750914757903,0.638188095847356,2.7682558680117695,2.7795269036588253
TC03003203.hg.1,TC03003203.hg.1,0.011406720697929362,0.5999367635625815,0.6382416715695,3.4577104353569927,3.4463037146590634
PSR06002949.hg.1,PSR06002949.hg.1,-0.026531570594412024,0.5999734278060187,0.6382686412226343,6.76882146159851,6.795353032192922
TC0X001908.hg.1,TC0X001908.hg.1,-0.026175850577903503,0.600109157627641,0.6384009966254903,10.89068803098541,10.916863881563314
TC08002593.hg.1,TC08002593.hg.1,-0.00747144916440412,0.6004152614763164,0.6387145888935762,4.433996895454271,4.441468344618675
PSR6_mcf_hap5000382.hg.1,PSR6_mcf_hap5000382.hg.1,-0.026495354930172077,0.6005179226182275,0.6388117534933848,6.7689088764787115,6.795404231408884
TC01004865.hg.1,TC01004865.hg.1,-0.012100068952194398,0.6005314297262658,0.6388140770084368,3.298123109950158,3.310223178902352
TC02000525.hg.1,TC02000525.hg.1,0.010705177093041307,0.6005498727842804,0.638821650943541,2.944327767969735,2.9336225908766935
TC04001963.hg.1,TC04001963.hg.1,0.027610639726751707,0.6006262503822445,0.6388908500172603,4.612340330270824,4.584729690544072
TC01001076.hg.1,TC01001076.hg.1,-0.02667400751659743,0.6006929578055177,0.6389497604349867,3.5124841500030035,3.539158157519601
TC11001598.hg.1,TC11001598.hg.1,-0.01261869383764358,0.6007217788622183,0.6389661318906859,2.996666833603554,3.0092855274411976
PSR6_qbl_hap6000479.hg.1,PSR6_qbl_hap6000479.hg.1,-0.02648196829008853,0.6007310001727421,0.6389661318906859,6.768886731519845,6.795368699809933
PSR6_mann_hap4000473.hg.1,PSR6_mann_hap4000473.hg.1,-0.026476226270757408,0.6008042018328403,0.639031945006979,6.7688757076803,6.795351933951057
PSR6_dbb_hap3000482.hg.1,PSR6_dbb_hap3000482.hg.1,-0.026461107549493157,0.600975149642796,0.6392017191868499,6.768901110910949,6.7953622184604425
PSR6_ssto_hap7000476.hg.1,PSR6_ssto_hap7000476.hg.1,-0.026461417122910724,0.6010287747965519,0.6392346532532494,6.768906728517383,6.7953681456402935
TC01003178.hg.1,TC01003178.hg.1,-0.026650192562248876,0.6010241137345586,0.6392346532532494,3.512489333453433,3.5391395260156817
TC05001790.hg.1,TC05001790.hg.1,0.022992622506974314,0.6011585346889159,0.6393606087069816,5.435997172281268,5.413004549774294
TC0X001572.hg.1,TC0X001572.hg.1,0.012727638433083222,0.6013188379532193,0.6395190431240523,4.648665249504594,4.635937611071511
TC01000999.hg.1,TC01000999.hg.1,-0.03137369305439286,0.6014836217748535,0.6396822366735223,6.662490348285593,6.693864041339986
TC15000346.hg.1,TC15000346.hg.1,-0.031040739806640794,0.6015533608093423,0.6397443451487553,6.336768986969316,6.367809726775957
TC10001996.hg.1,TC10001996.hg.1,0.013662058422684531,0.6015832881290593,0.6397641128285096,4.344306314778116,4.3306442563554315
TC07002245.hg.1,TC07002245.hg.1,0.012359052899462153,0.6016111003704149,0.6397816304889178,3.9809782765868005,3.9686192236873383
TC01000366.hg.1,TC01000366.hg.1,-0.021849647869948363,0.6016446669415866,0.6398052667994351,4.583299936948298,4.605149584818246
TC02004564.hg.1,TC02004564.hg.1,-0.01870772805004428,0.6019822363689882,0.6401521810130353,5.405256888248366,5.42396461629841
3615310_st,3615310_st,-0.05147669060151028,0.6020773278190026,0.6402412342077559,7.308905721491622,7.3603824120931325
PSR6_cox_hap2000493.hg.1,PSR6_cox_hap2000493.hg.1,-0.02638072091070942,0.6021092438909464,0.6402631054327393,6.768911381132529,6.795292102043239
TC06001610.hg.1,TC06001610.hg.1,-0.01259478500413902,0.6021326293163075,0.6402759047961143,2.04635792169579,2.058952706699929
47419422_st,47419422_st,0.02178125162198219,0.6021655385349101,0.6402988305828067,2.271999302227827,2.2502180506058447
TC12002043.hg.1,TC12002043.hg.1,0.016757026505210604,0.6022650764398345,0.6403926022462275,5.947959553233649,5.9312025267284385
TC14000033.hg.1,TC14000033.hg.1,-0.010781107053435157,0.6022923535634149,0.6404095364368779,2.9496456920674956,2.9604267991209308
TC01002102.hg.1,TC01002102.hg.1,0.016116818415016,0.6024504587237244,0.6405655750980019,7.3006934143998095,7.2845765959847935
TC15000047.hg.1,TC15000047.hg.1,-0.04207717878225292,0.6030155394442236,0.6411543233267537,3.34202463399988,3.384101812782133
TC15000117.hg.1,TC15000117.hg.1,-0.04206183021599319,0.6031489904335443,0.6412841290971054,3.3420476310574685,3.3841094612734617
2999428_st,2999428_st,0.03197878030854717,0.6032252279287704,0.6413410140259186,8.896496750135109,8.864517969826561
TC11001806.hg.1,TC11001806.hg.1,-0.010383109565059723,0.60321736134237,0.6413410140259186,3.0046475812165974,3.015030690781657
TC12002406.hg.1,TC12002406.hg.1,-0.013470003955417198,0.6034102502807884,0.6415256378913339,3.848239636101604,3.861709640057021
TC19001066.hg.1,TC19001066.hg.1,-0.014708418570623216,0.6037151866977609,0.6418377410276496,6.195806912268059,6.210515330838682
TC07001042.hg.1,TC07001042.hg.1,-0.013995984409389095,0.6038267420561179,0.6419394435161209,4.1612856091995445,4.175281593608934
